Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
       187;1961-1990;        43;      79.5;      57.6;      74.8;      72.8;      79.6;      94.7;      97.3;      73.3;      69.2;      64.9;      79.1;      89.4;     932.1;
       188;1961-1990;        43;      24.4;      27.6;      36.4;        46;      57.4;      64.9;      44.1;      53.4;      34.3;      30.2;      34.9;      33.7;     487.3;
       189;1961-1990;        43;      49.7;      43.5;      45.9;      48.9;      53.1;        74;      54.2;      58.4;      48.4;      46.8;      58.9;      61.7;     643.7;
       190;1961-1990;        43;      45.9;      42.8;      45.5;      47.6;      53.2;      65.8;      50.2;      59.2;      45.6;      44.6;      57.5;      58.9;     616.7;
       191;1961-1990;        46;      49.3;      42.8;      47.9;      49.1;      54.6;      71.2;      54.2;      60.6;      45.9;      45.1;      58.1;      60.1;     638.9;
       192;1961-1990;        43;        46;        42;      45.2;      49.2;      74.6;        93;      78.4;      93.3;      60.2;      47.3;      55.1;      54.2;     738.4;
       193;1961-1990;        43;      57.1;      47.5;      53.6;      55.3;      70.5;      78.5;      71.4;      70.7;      54.1;      49.1;        63;      69.3;     740.1;
       194;1961-1990;        43;      40.1;      36.8;      40.3;      49.6;      60.2;      62.7;      59.2;      63.2;      50.8;      40.5;      48.9;      46.4;     598.5;
       196;1961-1990;        43;      50.8;      40.4;      51.2;      49.7;      67.4;      71.2;      69.8;      58.3;      49.3;      41.8;      57.9;      62.7;     670.4;
       198;1961-1990;        43;      26.7;      24.2;      29.7;      35.6;      50.9;        59;      54.4;      52.6;      40.9;        32;      33.4;      34.6;       474;
       199;1961-1990;        43;        56;      38.4;      50.1;      46.7;        53;      65.1;      69.6;      65.7;      62.9;      49.3;        57;      59.9;     673.6;
       200;1961-1990;        43;      97.7;      75.1;      95.6;      82.2;      77.9;      87.8;      85.1;      71.8;        74;      87.3;     109.5;     104.7;    1048.6;
       201;1961-1990;        43;      82.3;      61.3;      74.9;        71;        77;        89;      98.1;      83.1;      71.1;      72.6;      83.4;      88.2;     951.9;
       202;1961-1990;        43;      48.5;      44.8;      52.5;      54.4;      68.6;      80.6;      69.8;      70.9;      50.3;      52.1;      60.2;      62.7;     715.4;
       203;1961-1990;        43;     130.6;     103.9;     127.4;     166.2;     199.3;     245.8;     229.6;     222.1;     152.7;     132.4;     142.9;       141;    1993.7;
       204;1961-1990;        43;       121;     105.2;     112.2;     141.1;     173.1;     246.2;     221.9;     220.8;     138.9;     113.6;     132.6;     128.8;    1855.4;
       205;1961-1990;        43;     155.2;     122.1;     148.8;       177;     201.5;     271.8;     257.9;     238.6;       156;     138.2;     151.4;       169;    2187.3;
       206;1961-1990;        43;      66.5;      44.9;      57.8;      50.4;        61;      74.2;        81;      73.3;      65.9;      65.9;      74.2;      70.6;     785.6;
       207;1961-1990;        43;      27.8;      24.3;      30.9;      40.8;      48.4;      61.6;      48.5;      55.9;      32.3;      28.4;      32.2;        31;     462.2;
       208;1961-1990;        43;        29;      27.1;        33;      39.6;      46.8;      55.2;      48.5;      52.8;      35.4;      29.8;      32.7;      36.2;     466.2;
       209;1961-1990;        46;      65.9;      60.1;      66.1;      72.8;      93.9;     102.8;      82.6;      91.5;      64.3;      63.2;      71.3;      73.3;     907.9;
       211;1961-1990;        46;      64.6;      53.2;      62.2;      55.4;      66.3;      73.4;      63.9;      63.2;      55.9;      59.8;        73;      82.2;     773.1;
       213;1961-1990;        43;        35;      30.7;      39.2;      46.2;      56.3;      64.4;      51.6;      62.3;      35.8;      33.9;      36.6;      41.1;       533;
       214;1961-1990;        43;     111.3;      78.9;      95.5;      72.1;        74;      89.9;      91.7;      77.2;      83.1;      79.1;     105.8;     123.6;    1082.4;
       215;1961-1990;        43;     128.4;      92.1;     113.4;      83.8;      80.1;      98.8;     107.2;      92.7;      93.6;        96;     123.6;     148.5;    1258.3;
       216;1961-1990;        43;     114.2;      81.2;      98.2;      71.6;        77;      93.8;        93;      76.2;      84.7;      81.6;     110.4;       130;    1111.8;
       217;1961-1990;        43;      56.6;      53.1;      56.7;      86.3;     122.7;     157.1;     149.2;     137.2;      93.7;      66.1;      71.1;      59.5;    1109.5;
       218;1961-1990;        43;      30.8;      28.7;      34.2;      38.6;      47.3;      56.7;        47;      54.3;      36.3;      29.4;      35.3;      38.1;     476.7;
       219;1961-1990;        43;      23.4;      20.7;      27.7;        32;        41;      50.8;      39.7;        45;      31.4;        26;      30.2;      31.2;     399.2;
       220;1961-1990;        46;      62.5;      59.8;      59.1;        68;      89.9;      90.4;      71.8;      73.5;      62.6;      63.2;      73.4;      73.3;     847.6;
       221;1961-1990;        46;      50.5;        47;      49.5;      60.7;      86.6;       109;      97.8;        95;      67.7;      51.9;      58.1;      54.6;     828.4;
       222;1961-1990;        43;      50.6;      47.7;      51.4;      70.4;      82.3;      96.3;      82.3;        83;      62.4;      47.4;      54.9;      62.7;     791.6;
       223;1961-1990;        43;      86.6;      64.8;      68.5;      76.5;     100.4;      92.5;      84.3;        77;      70.2;      77.5;      77.7;      97.6;     973.6;
       224;1961-1990;        43;      79.3;        67;      74.2;     102.9;     139.5;       196;     169.4;     183.1;     106.4;      78.9;      80.7;      75.1;    1352.4;
       225;1961-1990;        43;        33;      31.6;      37.2;      50.1;      57.2;      63.6;      53.6;      60.9;      41.4;      33.7;      37.8;      38.4;     538.5;
       226;1961-1990;        43;      41.2;      39.1;      42.7;      51.5;      86.8;     105.1;        98;     100.7;      66.9;      43.8;      47.3;      44.5;     767.3;
       227;1961-1990;        43;      81.8;      64.5;      69.5;      64.8;      67.8;      84.9;      75.8;      59.8;        58;      61.3;      72.6;      93.8;     854.5;
       228;1961-1990;        43;      50.3;      48.9;      47.8;      66.8;      90.4;     110.8;      92.3;      94.4;      69.2;      50.2;      58.5;      54.4;       834;
       229;1961-1990;        43;      47.4;      47.4;      47.5;      66.8;      84.9;     102.9;      93.9;      88.8;        64;      43.4;      59.1;      49.7;     795.7;
       230;1961-1990;        46;      48.7;      48.2;      46.3;      65.2;      87.3;     109.1;      91.3;      90.4;        67;      49.8;      58.6;      53.3;     815.2;
       231;1961-1990;        43;      48.2;      48.4;      46.8;      64.5;      92.6;     114.5;      87.9;      88.8;      63.5;      44.5;      60.1;      54.5;     814.2;
       232;1961-1990;        43;        37;      38.8;      35.2;      59.2;        87;     102.3;      84.8;      97.1;      65.1;      47.5;      52.7;        43;     749.7;
       234;1961-1990;        43;      33.6;      32.8;      39.3;      40.1;      52.2;      56.1;      51.3;        54;      36.9;      30.1;      35.1;      35.8;     497.5;
       235;1961-1990;        43;      82.2;      58.3;      72.2;      67.5;        77;      83.2;      87.7;      78.6;      71.4;        64;      82.9;      94.5;     919.6;
       236;1961-1990;        43;      50.8;        49;      50.7;      58.4;      78.8;      79.3;      70.5;      69.1;      51.7;      53.8;      64.8;      60.8;     737.6;
       237;1961-1990;        43;        61;        52;      56.6;      62.4;      73.4;      93.6;      81.4;      84.9;      64.4;      50.4;      56.4;      72.6;     809.1;
       240;1961-1990;        46;      83.7;      70.4;      79.6;      70.7;      72.8;      85.3;        75;      77.3;      63.4;        73;      93.3;     109.8;     954.2;
       242;1961-1990;        43;      66.7;      53.4;      60.9;      60.4;      74.3;      83.9;        69;      80.1;      52.4;      53.4;      60.8;      74.4;     789.5;
       243;1961-1990;        43;      66.6;      43.1;      57.9;      48.2;      57.8;        76;      83.8;      78.6;      76.6;      76.2;      84.4;      74.3;     823.6;
       244;1961-1990;        43;      59.7;      40.5;      52.3;      46.8;      52.7;      71.3;      76.7;      74.6;      76.3;      73.6;      80.3;      67.5;     772.3;
       245;1961-1990;        43;      66.5;      44.4;      58.6;      50.3;      58.2;      77.3;      85.1;      72.9;      75.9;      77.2;        86;      75.8;     828.4;
       246;1961-1990;        46;      35.1;      30.2;      35.6;      43.6;      49.6;        62;      48.8;      63.9;      42.1;      36.9;      40.8;      47.2;     536.1;
       247;1961-1990;        43;      74.6;      66.3;      79.8;        98;     124.2;     158.3;     139.4;     144.5;     111.1;      74.4;      81.5;      86.1;    1237.9;
       248;1961-1990;        43;      26.1;      23.5;      31.7;      37.6;        47;      56.3;      52.8;        51;      36.3;      29.2;      33.3;      35.1;     459.8;
       249;1961-1990;        43;      44.5;      43.9;      49.8;      53.3;      65.4;      71.1;      63.1;        64;      46.3;      51.3;      58.2;      61.1;     671.8;
       250;1961-1990;        43;      48.4;      45.9;      52.8;      53.2;      65.5;      74.4;      66.4;      61.6;      49.4;      51.5;      60.6;      63.7;     693.3;
       251;1961-1990;        43;      46.7;      41.7;      43.6;      63.6;      83.3;     100.6;      98.5;      92.4;      63.4;      51.9;        59;        47;     791.8;
       252;1961-1990;        43;      66.4;      58.6;      65.6;        71;        92;      95.8;      79.2;      94.8;      65.6;      63.5;      68.5;      72.2;     893.1;
       255;1961-1990;        43;      63.5;      43.2;      53.5;      48.1;      59.6;      73.4;      72.7;      63.9;      56.1;      55.8;      67.4;      70.1;     727.2;
       256;1961-1990;        43;      51.6;      38.6;      48.8;        53;      62.6;      79.3;      64.7;      67.2;      49.3;      42.9;      52.9;      59.3;     670.2;
       257;1961-1990;        43;      87.1;      78.7;      90.3;      99.5;     115.7;     124.1;      96.8;     103.3;      82.3;      85.2;     104.2;     100.4;    1167.6;
       259;1961-1990;        43;      67.7;      65.1;      71.2;      89.9;     106.6;     108.9;      88.8;     107.2;        76;        70;      80.4;      74.3;    1006.1;
       260;1961-1990;        43;      35.9;      29.5;      37.9;      45.8;      54.7;      66.5;      54.9;      65.8;      34.1;      34.6;      35.9;        40;     535.7;
       262;1961-1990;        43;      62.5;        54;      61.6;      59.1;      77.1;      94.7;      83.5;      82.4;      66.9;      60.6;      66.1;      77.5;     845.9;
       264;1961-1990;        43;        36;      27.5;      32.3;        43;      55.1;      60.7;      50.6;      64.6;      44.2;      39.5;      43.4;        48;       545;
       266;1961-1990;        43;      32.8;      28.8;      37.9;      38.2;      46.3;      58.6;      43.6;      51.7;        36;        30;        39;      38.4;     481.3;
       267;1961-1990;        46;      52.4;      48.2;      50.8;      62.5;      89.7;     113.1;      99.6;     106.2;      68.8;      53.6;      61.8;      58.1;     864.9;
       268;1961-1990;        43;     151.6;     126.1;     130.6;     119.1;     114.7;     135.2;     109.3;     111.1;      98.1;     107.8;     149.8;     170.2;    1523.7;
       269;1961-1990;        43;     226.7;     173.5;     162.7;     114.4;     162.1;     163.6;     139.4;     142.7;     112.4;     127.3;     189.2;     198.5;    1912.4;
